ID,PaperID,Authors
343,1732522,'Hiroshi Imai'
344,1732522, 'Shuji Deguchi'
345,1732522, 'Takahiro Fujii'
346,1732522, 'Ian S. Glass'
347,1732522, 'Yoshifusa Ita'
348,1732522, 'Hideyuki Izumiura'
349,1732522, 'Osamu Kameya'
350,1732522, 'Atsushi Miyazaki'
351,1732522, 'Yoshikazu Nakada'
352,1732522, 'Jun-ichi Nakashima'
353,1732523,'Joseph M. Hahn'
354,1732523, 'Herbert A. Zook'
355,1732523, 'Bonnie Lois Cooper\nCooper Research'
356,1732523, 'Bhaskar Sunkara'
357,1732524,'Pratik Majumdar'
358,1732524, 'B. S. Acharya'
359,1732524, 'P.N. Bhat'
360,1732524, 'Varsha Chitnis'
361,1732524, 'M. A. Rahman'
362,1732524, 'Bharat B. Singh'
363,1732524, 'Palahalli Vishwanath'
364,1732525,'Diego Rainis\nUniversity of Basel'
365,1732525, 'Marco Polini'
366,1732525, 'Mario P. Tosi\nScuola Normale Superiore di Pisa'
367,1732525, 'Giovanni Vignale\nUniversity of Missouri'
368,1732526,'A. Simionescu'
369,1732526, 'N. Werner'
370,1732526, 'A. Finoguenov\nUniversity of Helsinki'
371,1732526, 'H. Boehringer'
372,1732527,'Peter G. Jonker'
373,1732527, 'Manuel Machado Méndez\nUniversidad de Artemisa'
374,1732527, 'Michiel van der Klis'
375,1732528,'Abhijit Chakraborty\nPhysical Research Laboratory'
376,1732528, 'Jingjun ge\nUniversity of Science and Technology Beijing'
377,1732528, 'John Henry Debes\nSpace Telescope Science Institute'
378,1732529,'Nelson J. Nunes\nUniversity of Lisbon'
379,1732529, 'E. J. Copeland'
380,1732530,'Anil K. Pradhan'
381,1732530, 'Guo-Xin Chen\nHarvard-Smithsonian Center for Astrophysics'
382,1732530, 'Franck Delahaye\nObservatoire de Paris'
383,1732530, 'Sultana N. Nahar'
384,1732531,'Didier Barret\nResearch Institute in Astrophysics and Planetology'
385,1732531, 'J. F. Olive\nPaul Sabatier University - Toulouse III'
386,1732532,'Wako Aoki'
387,1732532, 'Hiroyasu Ando'
388,1732532, 'Satoshi Honda'
389,1732532, 'Masanori Iye\nNational Astronomical Observatory of Japan'
390,1732533,'Delphine Porquet'
391,1732533, 'R. Mewe'
392,1732533, 'J. S. Kaastra'
393,1732533, 'J. Dubau'
394,1732533, 'A. J. J. Raassen'
395,1732534,'Cheongho Han'
396,1732535,'Mirt Gramann\nTartu Observatory'
397,1732535, 'Ivan Suhhonenko\nTartu Observatory'
398,1732536,'Jean Cleymans\nUniversity of Cape Town'
399,1732536, 'Rashmi Rekha Sahoo\nIndian Institute of Technology (Banaras Hindu University) Varanasi'
400,1732536, 'Dinesh K. Srivastava\nVariable Energy Cyclotron Centre'
401,1732536, 'Spencer Wheaton\nUniversity of Cape Town'
402,1732537,'J. A. Eilek'
403,1732537, 'P. N. Arendt Jr'
404,1732537, 'T. H. Hankins\nNational Radio Astronomy Observatory'
405,1732537, 'J. C. Weatherall'
406,1732538,'Liliana Formiggini'
407,1732538, 'Noah Brosch'
408,1732538, 'E. Almoznino'
409,1732538, 'Stuart Bowyer'
410,1732538, 'Mike Lampton'
411,1732539,'Luis López-Martín\nInstituto de Astrofísica de Canarias'
412,1732539, 'J. A. Lopez'
413,1732539, 'C. Esteban'
414,1732539, 'Roberto Vazquez\nUniversidad Nacional Autónoma de México'
415,1732540,'David Skillman\nIndependent Researcher'
416,1732540, 'Thomas Krajci'
417,1732540, 'Edward Beshore'
418,1732540, 'Joseph Patterson\nColumbia University'
419,1732541,'Takashi Hosokawa\nKyoto University'
420,1732542,'Paola Caselli'
421,1732543,'Tod E. Strohmayer'
422,1732544,'Roland Bacon'
423,1732544, 'Martin Bureau'
424,1732544, 'Michele Cappellari'
425,1732544, 'Yannick Copin'
426,1732544, 'Roger L. Davies'
427,1732544, 'Eric Emsellem'
428,1732544, 'H. Kuntschner'
